"date","Central","Western","North","East"
2013-11-04,0,0,0,0
2013-11-11,0,0,0,0
2013-11-18,0,0,0,0
2013-11-25,1,0,0,0
2013-12-02,2,0,0,0
2013-12-09,7,0,0,0
2013-12-16,96,0,0,0
2013-12-23,429,3,0,0
2013-12-30,201,0,1,0
2014-01-06,52,4,17,2
2014-01-13,0,0,37,2
2014-01-20,3,0,82,3
2014-01-27,2,0,11,7
2014-02-03,2,0,72,26
2014-02-10,223,156,29,33
2014-02-17,228,263,50,42
2014-02-24,314,545,37,54
2014-03-03,185,409,82,39
2014-03-10,349,548,37,38
2014-03-17,668,958,31,24
2014-03-24,304,312,67,2
2014-03-31,13,359,45,1
2014-04-07,62,604,104,0
2014-04-14,175,796,95,18
2014-04-21,77,201,53,6
2014-04-28,178,667,231,27
2014-05-05,45,350,33,14
2014-05-12,15,117,22,0
2014-05-19,25,225,14,0
2014-05-26,7,161,15,0
2014-06-02,4,188,11,0
2014-06-09,1,216,13,0
2014-06-16,9,167,20,0
2014-06-23,2,163,26,0
2014-06-30,0,72,3,0
2014-07-07,0,0,0,0
2014-07-14,0,0,0,0
2014-07-21,0,0,0,0
2014-07-28,0,0,0,0
2014-08-04,0,0,0,0
2014-08-11,0,0,0,0
2014-08-18,0,0,0,0
2014-08-25,0,0,0,0
2014-09-01,0,0,0,0
