"date","Central","Western","North","East"
2013-11-04,2,0,0,0
2013-11-11,20,0,0,0
2013-11-18,9,0,0,0
2013-11-25,33,1,0,0
2013-12-02,24,7,0,0
2013-12-09,39,8,7,0
2013-12-16,102,52,0,0
2013-12-23,208,89,0,0
2013-12-30,289,148,3,0
2014-01-06,506,122,7,0
2014-01-13,470,69,72,0
2014-01-20,828,155,162,0
2014-01-27,697,125,17,0
2014-02-03,763,174,99,3
2014-02-10,641,268,57,1
2014-02-17,942,185,8,2
2014-02-24,1018,173,39,1
2014-03-03,714,165,176,1
2014-03-10,360,466,70,0
2014-03-17,271,235,9,0
2014-03-24,264,10,3,5
2014-03-31,69,4,0,0
2014-04-07,130,54,0,1
2014-04-14,86,40,0,0
2014-04-21,73,27,0,0
2014-04-28,62,23,0,1
2014-05-05,8,85,35,1
2014-05-12,2,45,1,0
2014-05-19,5,25,4,0
2014-05-26,3,14,26,0
2014-06-02,15,1,15,0
2014-06-09,17,30,0,0
2014-06-16,18,34,0,0
2014-06-23,39,48,0,0
2014-06-30,6,11,0,0
2014-07-07,1,48,0,0
2014-07-14,0,47,0,0
2014-07-21,0,105,0,0
2014-07-28,0,20,0,0
2014-08-04,0,21,0,0
2014-08-11,0,32,0,0
2014-08-18,0,2,0,0
2014-08-25,0,9,0,0
2014-09-01,0,18,0,0
