"date","Central","Western","North","East"
2013-11-04,0,0,0,0
2013-11-11,1,0,0,0
2013-11-18,1,0,0,0
2013-11-25,7,0,0,0
2013-12-02,11,0,0,0
2013-12-09,9,3,7,0
2013-12-16,42,17,0,0
2013-12-23,66,18,0,0
2013-12-30,105,29,3,0
2014-01-06,221,31,4,0
2014-01-13,190,19,12,0
2014-01-20,381,52,50,0
2014-01-27,311,50,13,0
2014-02-03,351,66,31,0
2014-02-10,256,73,17,0
2014-02-17,394,38,8,0
2014-02-24,452,50,28,0
2014-03-03,357,60,37,0
2014-03-10,177,121,25,0
2014-03-17,113,48,7,0
2014-03-24,71,3,3,3
2014-03-31,19,2,0,0
2014-04-07,31,21,0,0
2014-04-14,25,17,0,0
2014-04-21,19,10,0,0
2014-04-28,11,3,0,0
2014-05-05,0,12,18,0
2014-05-12,2,7,0,0
2014-05-19,2,9,3,0
2014-05-26,0,8,21,0
2014-06-02,1,1,15,0
2014-06-09,4,1,0,0
2014-06-16,1,7,0,0
2014-06-23,1,4,0,0
2014-06-30,0,0,0,0
2014-07-07,1,7,0,0
2014-07-14,0,10,0,0
2014-07-21,0,27,0,0
2014-07-28,0,6,0,0
2014-08-04,0,5,0,0
2014-08-11,0,5,0,0
2014-08-18,0,0,0,0
2014-08-25,0,1,0,0
2014-09-01,0,2,0,0
