"date","Central","Western","North","East"
2013-11-04,2,0,0,0
2013-11-11,20,0,0,0
2013-11-18,9,0,0,0
2013-11-25,34,1,0,0
2013-12-02,26,7,0,0
2013-12-09,46,8,7,0
2013-12-16,198,52,0,0
2013-12-23,637,92,0,0
2013-12-30,490,148,4,0
2014-01-06,558,126,24,2
2014-01-13,470,69,109,2
2014-01-20,831,155,244,3
2014-01-27,699,125,28,7
2014-02-03,765,174,171,29
2014-02-10,864,424,86,34
2014-02-17,1170,448,58,44
2014-02-24,1332,718,76,55
2014-03-03,899,574,258,40
2014-03-10,709,1014,107,38
2014-03-17,939,1193,40,24
2014-03-24,568,322,70,7
2014-03-31,82,363,45,1
2014-04-07,192,658,104,1
2014-04-14,261,836,95,18
2014-04-21,150,228,53,6
2014-04-28,240,690,231,28
2014-05-05,53,435,68,15
2014-05-12,17,162,23,0
2014-05-19,30,250,18,0
2014-05-26,10,175,41,0
2014-06-02,19,189,26,0
2014-06-09,18,246,13,0
2014-06-16,27,201,20,0
2014-06-23,41,211,26,0
2014-06-30,6,83,3,0
2014-07-07,1,48,0,0
2014-07-14,0,47,0,0
2014-07-21,0,105,0,0
2014-07-28,0,20,0,0
2014-08-04,0,21,0,0
2014-08-11,0,32,0,0
2014-08-18,0,2,0,0
2014-08-25,0,9,0,0
2014-09-01,0,18,0,0
