Week,Date,Av_temp,Rain_av
11,2003-11-01,24.4895,225.203
12,2003-12-01,25.3974,261.085
1,2004-01-01,25.9279,267.013
2,2004-02-01,26.1533,367.716
3,2004-03-01,25.7813,451.009
4,2004-04-01,24.9539,277.513
5,2004-05-01,24.0011,143.763
6,2004-06-01,23.3243,136.211
7,2004-07-01,22.4309,98.1061
8,2004-08-01,22.2873,152.135
9,2004-09-01,22.6082,129.325
10,2004-10-01,23.7952,148.78
11,2004-11-01,24.6,161.867
12,2004-12-01,25.5898,217.005
1,2005-01-01,26.2107,332.539
2,2005-02-01,26.5887,305.096
3,2005-03-01,26.4807,351.181
4,2005-04-01,25.0311,354.089
5,2005-05-01,23.9479,142.897
6,2005-06-01,22.9273,138.151
7,2005-07-01,22.1384,122.215
8,2005-08-01,22.5207,110.677
9,2005-09-01,23.64,88.1837
10,2005-10-01,24.3398,163.881
11,2005-11-01,24.7835,251.57
12,2005-12-01,25.2873,248.132
1,2006-01-01,25.6955,359.467
2,2006-02-01,26.0519,314.608
3,2006-03-01,26.0589,400.206
4,2006-04-01,26.1138,211.313
5,2006-05-01,24.2936,231.397
6,2006-06-01,23.0429,122.647
7,2006-07-01,22.1689,99.1689
8,2006-08-01,22.6071,155.08
9,2006-09-01,22.9473,126.589
10,2006-10-01,23.5754,172.069
11,2006-11-01,24.8946,227.999
12,2006-12-01,25.363,248.879
1,2007-01-01,26.4629,360.331
2,2007-02-01,26.2342,334.302
3,2007-03-01,25.9474,436.989
4,2007-04-01,25.2317,348.247
5,2007-05-01,24.2385,122.718
6,2007-06-01,23.3162,112.925
7,2007-07-01,22.4455,95.9734
8,2007-08-01,22.7269,109.364
9,2007-09-01,23.0549,144.238
10,2007-10-01,24.3265,152.661
11,2007-11-01,24.6443,341.912
12,2007-12-01,25.1889,312.574
1,2008-01-01,25.4969,502.769
2,2008-02-01,25.8049,335.537
3,2008-03-01,25.6802,378.512
4,2008-04-01,25.4165,275.453
5,2008-05-01,23.6251,201.673
6,2008-06-01,23.468,118.903
7,2008-07-01,22.3285,101.716
8,2008-08-01,22.5544,103.648
9,2008-09-01,22.9686,113.313
10,2008-10-01,24.017,142.555
11,2008-11-01,24.344,223.804
12,2008-12-01,25.3086,255.096
1,2009-01-01,25.6033,335.371
2,2009-02-01,26.1808,263.727
3,2009-03-01,25.6212,423.63
4,2009-04-01,25.1493,311.061
5,2009-05-01,23.7399,161.764
6,2009-06-01,22.8102,148.73
7,2009-07-01,22.2115,105.786
8,2009-08-01,22.9771,108.933
9,2009-09-01,22.764,136.147
10,2009-10-01,23.2981,155.999
11,2009-11-01,24.5998,185.21
12,2009-12-01,25.2925,231.808
1,2010-01-01,25.4473,329.259
2,2010-02-01,26.0934,274.096
3,2010-03-01,25.8127,379.829
4,2010-04-01,25.2202,310.721
5,2010-05-01,24.7028,126.008
6,2010-06-01,24.0557,96.2789
7,2010-07-01,22.2481,91.6505
8,2010-08-01,22.6335,107.223
9,2010-09-01,23.153,120.237
10,2010-10-01,23.5435,157.772
11,2010-11-01,24.2601,238.933
12,2010-12-01,25.0792,272.964
1,2011-01-01,25.621,354.065
2,2011-02-01,26.1016,323.055
3,2011-03-01,25.6827,416.314
4,2011-04-01,25.1127,322.021
5,2011-05-01,24.1382,175.232
6,2011-06-01,23.2582,137.764
7,2011-07-01,22.4443,107.331
8,2011-08-01,22.2329,116.808
9,2011-09-01,22.64,117.3
10,2011-10-01,23.6227,170.868
11,2011-11-01,24.4161,229.941
12,2011-12-01,24.9682,267.44
1,2012-01-01,25.5111,388.307
2,2012-02-01,25.617,321.092
3,2012-03-01,25.5574,454.131
4,2012-04-01,25.1457,325.343
5,2012-05-01,23.6004,139.023
6,2012-06-01,22.9639,125.371
7,2012-07-01,22.2387,100.681
8,2012-08-01,22.4598,112.251
9,2012-09-01,22.7853,133.146
10,2012-10-01,23.605,162.421
11,2012-11-01,24.1856,214.953
12,2012-12-01,25.2507,266.59
1,2013-01-01,25.7084,336.715
2,2013-02-01,25.7269,322.752
3,2013-03-01,25.7749,410.703
4,2013-04-01,25.4483,300.797
5,2013-05-01,23.903,159.947
6,2013-06-01,23.1589,137.822
7,2013-07-01,22.2209,87.2185
8,2013-08-01,22.5969,111.039
9,2013-09-01,22.8952,135.047
10,2013-10-01,23.6392,172.069
11,2013-11-01,24.4622,245.497
12,2013-12-01,25.2317,271.393
1,2014-01-01,25.6152,363.26
2,2014-02-01,25.9562,309.791
3,2014-03-01,25.7501,403.764
4,2014-04-01,25.336,300.631
5,2014-05-01,23.8167,166.194
6,2014-06-01,23.3197,122.748
7,2014-07-01,22.0791,95.1577
8,2014-08-01,22.3581,109.199
9,2014-09-01,22.9154,125.719
10,2014-10-01,23.5778,160.962
11,2014-11-01,24.3345,225.061
12,2014-12-01,25.0698,253.455
1,2015-01-01,25.954,455.756
2,2015-02-01,25.8759,319.408
3,2015-03-01,25.8411,403.655
4,2015-04-01,25.1646,296.833
5,2015-05-01,23.7647,121.53
6,2015-06-01,23.0726,125.478
7,2015-07-01,22.1193,95.6827
8,2015-08-01,22.2837,115.897
9,2015-09-01,22.6388,123.453
10,2015-10-01,23.6203,159.34
11,2015-11-01,24.4835,216.872
12,2015-12-01,24.9529,261.222
