date,min_air_temp,max_air_temp
2013-10-01,28.4,23
2013-10-02,26.5,23.3
2013-10-03,26.8,23.5
2013-10-04,27.8,24
2013-10-05,28.5,24
2013-10-06,28.5,24.5
2013-10-07,29.2,25
2013-10-08,27.5,24
2013-10-09,29.5,24.5
2013-10-10,29.5,24.4
2013-10-11,27.4,24.5
2013-10-12,27.9,23.5
2013-10-13,27.9,23
2013-10-14,28.5,
2013-10-15,29.4,23
2013-10-16,28.4,25.3
2013-10-17,26.5,24.5
2013-10-18,28.5,23.5
2013-10-19,28.5,24
2013-10-20,28.8,23.5
2013-10-21,26.3,23.5
2013-10-22,25.9,22.5
2013-10-23,27.3,24.7
2013-10-24,28.4,24.8
2013-10-25,28,24.7
2013-10-26,28.8,24
2013-10-27,30.8,24.8
2013-10-28,30.7,24.8
2013-10-29,27.8,24.5
2013-10-30,27.4,24
2013-10-31,28,24.8
2013-11-01,30.8,24.5
2013-11-02,31.4,25.5
2013-11-03,32.2,25
2013-11-04,31.8,25
2013-11-05,31,24.5
2013-11-06,29.5,25
2013-11-07,31.7,23
2013-11-08,31.9,23.5
2013-11-09,31.7,24
2013-11-10,31.9,24.8
2013-11-11,27.9,25
2013-11-12,28.9,25
2013-11-13,28.5,25.4
2013-11-14,28.8,23.5
2013-11-15,27.8,24.5
2013-11-16,28.8,25.3
2013-11-17,32,24.5
2013-11-18,30.2,25
2013-11-19,30.9,25
2013-11-20,30.4,25
2013-11-21,33.2,24.8
2013-11-22,31.2,24
2013-11-23,31.2,24.9
2013-11-24,31.4,23
2013-11-25,30.7,25
2013-11-26,31.4,25.5
2013-11-27,33.2,24.5
2013-11-28,33.5,25
2013-11-29,31.9,24.5
2013-11-30,32.4,24.9
2013-12-01,32.3,26
2013-12-02,31.7,25.5
2013-12-03,30.8,25
2013-12-04,32.5,24.5
2013-12-05,31.8,25
2013-12-06,31.3,24.8
2013-12-07,31.3,25
2013-12-08,31.3,25
2013-12-09,27,24
2013-12-10,30.7,23.4
2013-12-11,31.3,23.4
2013-12-12,32,24
2013-12-13,30.9,25.2
2013-12-14,31,26
2013-12-15,32.4,24.7
2013-12-16,32.2,24.7
2013-12-17,32.2,25
2013-12-18,30.7,25.5
2013-12-19,32,24
