"","temp","PDR.M.aegy","V3","V4","EFD.M.aegy","V6","V7","e2a.M.aegy","V9","V10","MDR.M.aegy","V12","V13","lf.M.aegy","V15","V16","a.M.aegy","V18","V19","b.M.aegy","V21","V22","c.M.aegy","V24","V25"
"1",5,0.000110061247407346,0,0.00184677641859102,0.000177670997919078,0,0,1e-04,1e-04,1e-04,7.59494509650029e-06,0,0,0.000702862400623326,0,0,9.10597782587066e-06,0,0,0,0,0,0.000635492255021796,0,0.0068524444281275
"2",5.1,0.000122045943220401,0,0.00202185762985414,0.000209679261025487,0,0,1e-04,1e-04,1e-04,8.6671571678586e-06,0,0,0.000894972759029064,0,0,1.05922735074394e-05,0,0,0,0,0,0.000681060042298549,0,0.00810120987387766
"3",5.2,0.000135116260554235,0,0.00220639769113556,0.000242704272341325,0,0,1e-04,1e-04,1e-04,9.82845479323242e-06,0,0,0.00122160745269445,0,0,1.21258670508123e-05,0,0,0,0,0,0.000728934276692456,0,0.00933998921741456
"4",5.3,0.000149300990620909,0,0.00239240383098734,0.000279072893512572,0,0,1e-04,1e-04,1e-04,1.11401342043906e-05,0,0,0.00155086991582167,0,0,1.38490912536416e-05,0,0,0,0,0,0.000779774487877565,0,0.0105284862513991
"5",5.4,0.000164603266558176,0,0.00257805824183876,0.000321701976015345,0,0,1e-04,1e-04,1e-04,1.25957170303493e-05,0,0,0.00189235232944574,0,0,1.58278313566849e-05,0,0,0,0,0,0.000833354367518832,0,0.0118512208832621
"6",5.5,0.000181288646075169,0,0.00276829489083873,0.000370589937466381,0,0,1e-04,1e-04,1e-04,1.42432543475377e-05,0,0,0.00228228974876631,0,0,1.7976487862246e-05,0,0,0,0,0,0.000890341200986811,0,0.0131335941323918
"7",5.6,0.000199501993116694,0,0.00298702336738258,0.000428513561888576,0,0,1e-04,1e-04,1e-04,1.6074078584661e-05,0,0,0.00282686007395702,0,0,2.0358967383725e-05,0,0,0,0,0,0.000950671689646233,0,0.0143783360524564
"8",5.7,0.000219036062324578,0,0.0031864755674401,0.000490870999796589,0,0,1e-04,1e-04,1e-04,1.8016302885843e-05,0,0,0.00364496798245865,0,0,2.29659026775598e-05,0,0,0,0,0,0.00101387714047223,0,0.0158788652473161
"9",5.8,0.000240218445599182,0,0.00340214261596067,0.000562730049912175,0,0,1e-04,1e-04,1e-04,2.00831836179772e-05,0,0,0.00463465980673361,0,0,2.58923832193164e-05,0,0,0,0,0,0.00108070191818813,0,0.0173199524764588
"10",5.9,0.00026298513673328,0,0.00362195642536535,0.00064302969367389,0,0,1e-04,1e-04,1e-04,2.23432474461147e-05,0,0,0.00582922365749881,0,0,2.90633414262574e-05,0,0,0,0,0,0.0011512743639801,0,0.0189044610861938
"11",6,0.000287358428463963,0,0.00385416404220574,0.000731941495148195,0,0,1e-04,1e-04,1e-04,2.48663790304851e-05,0,0,0.00727023604934792,0,0,3.2438432744538e-05,0,0,0,0,0,0.00122554130023625,0,0.0205281542786708
"12",6.1,0.000313412884188696,0,0.00409044730310993,0.000836982503969207,0,0,1e-04,1e-04,1e-04,2.7763035483939e-05,0,0,0.00890956401070043,0,0,3.61653452552773e-05,0,0,0,0,0,0.00130391021350752,0,0.0221908007083517
"13",6.2,0.000341170765794687,0,0.0043325508312171,0.000956981374328549,0,0,1e-04,1e-04,1e-04,3.09959654644769e-05,0,0,0.0107666062684801,0,0,4.0477213581712e-05,0,0,0,0,0,0.00138607452061395,0,0.0238847024402951
"14",6.3,0.000370716126231147,0,0.00457502695911759,0.00108690682973425,0,0,1e-04,1e-04,1e-04,3.45273485038536e-05,0,0,0.0134542355955575,0,0,4.52500433124199e-05,0,0,0,0,0,0.00147268291108369,0,0.0254593940347913
"15",6.4,0.000402296675107435,0,0.00479508793605761,0.00122476101323733,0,0,1e-04,1e-04,1e-04,3.83194546171049e-05,0,0,0.0167626302383136,0,0,5.03904642041426e-05,0,0,0,0,0,0.00156418049721141,0,0.0269377571691562
"16",6.5,0.000435991056370586,0,0.00503694796050576,0.0013719477863504,0,0,1e-04,1e-04,1e-04,4.23685058807983e-05,0,0,0.0210900687290161,0,0,5.57602431643143e-05,0,0,0,0,0,0.00166198848107685,0,0.0287506926476494
"17",6.6,0.000472041971528267,0,0.00531548249563185,0.00152661849397011,0,0,1e-04,1e-04,1e-04,4.68871483601374e-05,0,0,0.0266586175633518,0,0,6.14203777582949e-05,0,0,0,0,0,0.0017643616389647,0,0.0305734674930447
"18",6.7,0.000510445504347957,0,0.00557121061463504,0.00169199915384903,0,0,1e-04,1e-04,1e-04,5.20713067432754e-05,0,0,0.0335473695582408,0,0,6.75422129420225e-05,0,0,0,0,0,0.00187081446695299,0,0.0321788716753574
"19",6.8,0.000551225771788078,0,0.00582577254242742,0.00188736188710677,0,0,1e-04,1e-04,1e-04,5.77668735590749e-05,0,0,0.0421732532327354,0,0.204215132540732,7.41175502472953e-05,0,0,0,0,0,0.00198353006491157,0,0.0338142194270619
"20",6.9,0.000594764329681804,0,0.00611029644550029,0.0021107567896401,0,0,1e-04,1e-04,1e-04,6.40526037739491e-05,0,0.000114156351639537,0.0525895156822336,0,0.552486637244244,8.12986940247388e-05,0,0,0,0,0,0.00210128196197007,0,0.0356799944833527
"21",7,0.000641088408666984,0,0.00639467958872672,0.002366237731269,0,0,1e-04,1e-04,1e-04,7.10131419261882e-05,0,0.000351611299837324,0.0647114382791656,0,0.89835014608682,8.90741639404792e-05,0,0,0,0,0,0.00222391585057634,0,0.0376201934850161
"22",7.1,0.000689948385410497,0,0.00667313865637699,0.0026547776717261,0,0,1e-04,1e-04,1e-04,7.8714151689272e-05,0,0.000594784594820129,0.0800655689431088,0,1.26405539146908,9.7741976625097e-05,0,0,0,0,0,0.0023519981660648,0,0.0395957136206485
"23",7.2,0.000741571525918695,0,0.0069570679766603,0.0029731302864569,0,0,1e-04,1e-04,1e-04,8.74763992738911e-05,0,0.000847034481236632,0.0983354496395782,0,1.64315328551284,0.000107499717208477,0,0,0,0,0,0.00248773014488899,0,0.0416063148738165
"24",7.3,0.000796059793238444,0,0.00726864849592483,0.00332738099949167,0,0,1e-04,1e-04,1e-04,9.70649293705602e-05,0,0.00109888755821797,0.119850844010691,0,1.97597645575943,0.000118139939101225,0,0,1.11220179946371e-08,0,0,0.00263031330763527,0,0.0436517563228863
"25",7.4,0.000853863214573287,0,0.00758675906936778,0.00371766137458913,0,0,1e-04,1e-04,1e-04,0.000107702074775383,0,0.00135978656562936,0.145426773188195,0,2.29782105690081,0.000129847346533143,0,0,3.88743257393192e-07,0,0,0.00278003972442248,0,0.0455658972542079
"26",7.5,0.000914581123918464,0,0.00788942967903072,0.00416276432769043,0,0,1e-04,1e-04,1e-04,0.000119322462720069,0,0.00162653940862097,0.174722630807902,0,2.61990494948963,0.000142845275195817,0,0,7.7527331444372e-07,0,0,0.00293877501346173,0,0.0475025859970624
"27",7.6,0.000978336275716393,0,0.00820212523192365,0.00463811061836015,0,0,1e-04,1e-04,1e-04,0.000131779228868915,0,0.00189865633228457,0.209180950255595,0,2.96818655655833,0.000156666738001179,0,0,1.38135586106663e-06,0,0,0.00310612888551751,0,0.049587307764384
"28",7.7,0.00104569120637502,0,0.00855147299366102,0.00514004779377429,0,0,1e-04,1e-04,1e-04,0.000145381551735922,0,0.00215990898209697,0.249074400567835,0,3.30281215820848,0.00017134380769707,0,0.00015072008124196,2.18336096718804e-06,0,0,0.00328081439785465,0,0.0518091070904233
"29",7.8,0.00111606338849239,0,0.00889322309001814,0.0056805430558075,0,0.0156802972326502,1e-04,1e-04,1e-04,0.000160340832502284,0,0.00243946211866522,0.295618127317755,0,3.65666985130565,0.000186935416218435,0,0.000720074766263539,3.00292603480083e-06,0,0,0.00346426473057446,0,0.0540589725722264
"30",7.9,0.00118958926221089,0,0.00921995701990054,0.00627410775128704,0,0.0346313679788505,1e-04,1e-04,1e-04,0.000176645954374061,0,0.0027364744409807,0.349146008791773,0,3.9959210748222,0.000203838336696617,0,0.00123209230100991,3.83993589588264e-06,0,0,0.00365662710608308,0,0.0560858569087428
"31",8,0.00126666513855178,0,0.0095455248673588,0.00691566638466516,0,0.0538966263562052,1e-04,1e-04,1e-04,0.000194298702477207,0,0.00303933248207513,0.410928539480409,0,4.34561870976893,0.00022204158583544,0,0.00175400193335433,4.69427494858564e-06,0,0,0.00385691934116031,0,0.0580829580967264
"32",8.1,0.0013477211961067,0,0.00985510668497425,0.00759532511332671,0,0.0760771995703309,1e-04,1e-04,1e-04,0.000213680708121216,0,0.00334718000410041,0.482173085653744,0,4.68343824795838,0.000241262676499011,0,0.00228697582923718,5.56582715326624e-06,0,0,0.0040687977091891,0,0.0603608772611762
"33",8.2,0.00143237269140424,0,0.0101848438703451,0.00831983479743248,0,0.0989799898220532,1e-04,1e-04,1e-04,0.000235119848117835,0,0.00366294056401634,0.563557937915795,0,5.00971898267254,0.000262452972903948,0,0.00283684962916345,6.4544760284607e-06,0,0,0.00429242069990006,0,0.0625748121463352
"34",8.3,0.00152098016645945,0,0.0105108825998083,0.00909157122364526,0,0.122335608814142,1e-04,1e-04,1e-04,0.000258909988896829,0,0.00398368015713065,0.654927863462531,0,5.3056302946347,0.000285108419395885,0,0.00351368784074047,7.36010464680575e-06,0,0,0.00452597318724007,0,0.0648141097786113
"35",8.4,0.00161371264733346,0,0.0108724637592528,0.00991428996556349,0,0.146140827491529,1e-04,1e-04,1e-04,0.000284840036734532,0,0.00430940735616889,0.75735093806626,0,5.63866281131494,0.000309584105736551,0,0.00418330459524885,8.28259563090315e-06,0,0,0.00477076191451479,0,0.0670327111287253
"36",8.5,0.00171088820249877,0,0.0111992967339976,0.0107916072383837,0,0.169973214773029,1e-04,1e-04,1e-04,0.000312474473308374,0,0.00462882511178314,0.871361458270684,0,5.97076743978362,0.000336290681022296,0,0.00487927209334189,9.42351928531272e-06,0,0,0.00502907756754528,0,0.0692199595131629
"37",8.6,0.00181267669822258,0,0.0115446400029322,0.011729745651522,0,0.192349881512486,1e-04,1e-04,1e-04,0.000342492023083243,0,0.00494335015821796,0.997658139797348,0,6.28674744796345,0.000364901321789939,0,0.00558757214495716,1.10430500640483e-05,0,0,0.00529901672322978,0,0.0714291062306041
"38",8.7,0.00191955159659956,0,0.0119341365204583,0.0127549865235791,0,0.214336420275072,1e-04,1e-04,1e-04,0.000375089345128372,0,0.0052877326142822,1.1369397824039,0,6.6264657382763,0.000395968004330974,0,0.00626841672259424,1.28053705739197e-05,0,0,0.00558141409876553,0,0.0736625347529563
"39",8.8,0.00203146891950984,0,0.0123235637090113,0.0138477948149109,0,0.237721261693041,1e-04,1e-04,1e-04,0.000410498213767386,0,0.0056604852511274,1.28928909307344,0,6.96159881400828,0.000430149505427727,0,0.00694643853666457,1.45997717682188e-05,0,0,0.00587746713548071,0,0.0759308274548457
"40",8.9,0.00214814230483226,0,0.0127173569032617,0.0150118936049411,0,0.260951111092741,1e-04,1e-04,1e-04,0.000448377283439927,0,0.00601146098511367,1.45392640242026,0,7.2734260882707,0.000467342593909738,0,0.00763627048384569,1.7254600937007e-05,0,0,0.0061892481292517,0,0.0782305855471916
"41",9,0.00226996635134197,0,0.0131160817249624,0.0162518220009819,0,0.286903535881731,1e-04,1e-04,1e-04,0.000489034963998357,0,0.00636441319535511,1.62894862322607,0,7.59306744966458,0.000508091479173589,0,0.00833784172992073,2.05427405152148e-05,0,0,0.00651786093828321,0,0.0805465335674076
"42",9.1,0.00239713409579232,0,0.0134898731074191,0.0175796504458921,0,0.311469643602508,1e-04,1e-04,1e-04,0.00053267820480952,0,0.00672269446099335,1.81656387148938,0,7.90638054494937,0.000552173203682671,0,0.0090510812016999,2.39268645883238e-05,0,0,0.00685979932965204,0,0.082887805248361
"43",9.2,0.00252914105692851,0,0.0138666016113724,0.0190015868571537,0,0.336375265067124,1e-04,1e-04,1e-04,0.000579859071896142,0,0.00708626876146188,2.01660887335125,0,8.22591182565083,0.000599104130070658,0,0.0097759175850714,2.83137904367483e-05,0,0,0.00721756609227088,0,0.085311877465036
"44",9.3,0.0026672340144769,0,0.0142336012157796,0.0205334140558159,0,0.358395924120576,1e-04,1e-04,1e-04,0.000630940973149051,0,0.00745518054819179,2.22983218285372,0,8.53021044347268,0.000649520747997265,0,0.0105453150194525,3.40037852601334e-05,0,0,0.00759173801521709,0,0.087736058975334
"45",9.4,0.00281079978053299,0,0.0146046797522227,0.0221449327575202,0,0.384133090017523,1e-04,1e-04,1e-04,0.00068570914574603,0,0.0078575459995681,2.4561225088489,0,8.84911354051525,0.000702969512841088,0,0.0114327442117171,4.05512464852625e-05,0,0,0.00798173179189302,0,0.090086296712156
"46",9.5,0.00295936650546233,0,0.0149917002935364,0.023877469327471,0,0.411057531858585,1e-04,1e-04,1e-04,0.000744680849661829,0,0.00823488019991573,2.69419759353227,0,9.15406562417561,0.000759319813549051,0,0.0123336868651878,4.76554115624661e-05,0,0,0.00838943559559404,0,0.0925429116762729
"47",9.6,0.00311340023844664,0,0.0154144548235867,0.0257471537586068,0,0.438839727589084,1e-04,1e-04,1e-04,0.000807683033271661,0,0.00863377379898561,2.94296314315648,0,9.45520613273167,0.000819258328062257,0,0.0131651492284876,5.60032338771503e-05,0,0,0.00881657621707539,0,0.0952128049481638
"48",9.7,0.00327326834840206,0,0.0158103916182448,0.0277338987682555,0,0.46681302437533,1e-04,1e-04,1e-04,0.000875694008740029,0,0.00903481394016653,3.20256598227504,0,9.7561266650662,0.000884206627266521,0,0.013936896193631,6.48026457288067e-05,0,0,0.00926536078578675,0,0.0980829373399161
"49",9.8,0.0034386210990982,0,0.0162357528216889,0.0298441349518887,0,0.494035765021622,1e-04,1e-04,1e-04,0.00094875994097261,0,0.00944756043294931,3.47155750971975,0,10.0624616030388,0.000953660815789934,0,0.0147179318865515,7.44222261604887e-05,0,0,0.00973566871491927,0,0.100980375211804
"50",9.9,0.00361022116675073,0,0.0166460113236388,0.0321068055244176,0,0.520704232750184,1e-04,1e-04,1e-04,0.00102761071758852,0,0.00984623401308186,3.74840348553894,0,10.37983374545,0.00102843140149163,0,0.015509732133087,8.48243405426864e-05,0,0,0.0102270913263379,0,0.103901640607431
"51",10,0.00378849589572904,0,0.0171029342785534,0.0345058394236238,0,0.549494067309291,1e-04,1e-04,1e-04,0.00111261289073311,0,0.0102593244603771,4.03241020450326,0,10.6929643439319,0.00110868842256067,0,0.0163122232443685,9.60242837142387e-05,0,0,0.0107409732343205,0,0.106581057679836
"52",10.1,0.00397242855081502,0,0.0175211805451916,0.0371018455657181,0,0.579240790460403,1e-04,1e-04,1e-04,0.00120465812876507,0,0.0106711461898545,4.32365666547987,0,10.9814191359358,0.00119438305982026,0,0.0171515219456193,0.000108710041774425,0,0,0.0112796679602199,0,0.109073968783135
"53",10.2,0.00416224611985471,0,0.0179721273194022,0.0398830345354893,0,0.609346975258162,1e-04,1e-04,1e-04,0.00130403047208232,0,0.0110935440732789,4.61926271593511,0,11.2921803755236,0.00128636840801643,0,0.0180335813053297,0.000121580556554392,0,0,0.0118443078469855,0,0.111582361882432
"54",10.3,0.00435819333029376,0,0.0184272441218824,0.0428352402637186,0,0.638186175040644,1e-04,1e-04,1e-04,0.00141045949238505,0,0.0115039024268967,4.91879715086633,0,11.6007200174106,0.00138326264804675,0,0.018925529461695,0.000134634290777383,0,0,0.0124352222996061,0,0.114112462768193
"55",10.4,0.00456038074896878,0,0.0188461257759396,0.0459903893813058,0,0.667138198274067,1e-04,1e-04,1e-04,0.00152389731197749,0,0.0119187641481852,5.22256255205372,0,11.8925136232032,0.00148538366408138,0,0.0198287754407983,0.000147869700505557,0,0,0.0130538582240554,0,0.116657978341016
"56",10.5,0.00476816900726934,0,0.0192721941761425,0.0493353488537617,0,0.702003664967048,1e-04,1e-04,1e-04,0.00164503172301568,0,0.0123383017161114,5.52875675875249,0,12.161033470109,0.00159393732316989,0,0.0207432378143372,0.000162974970896827,0,0,0.0136982022068346,0,0.119223065564271
"57",10.6,0.00498246052770318,0,0.0197365018860144,0.0529424163129038,0,0.732429906138053,1e-04,1e-04,1e-04,0.00177544087763214,0,0.0127624707049618,5.83663958276084,0,12.4449344672655,0.0017090851354847,0,0.0216688348498051,0.00017932225188809,0,0,0.0143737993970348,0,0.12180913493958
"58",10.7,0.00520292893722625,0,0.0202110630650853,0.0568011842708461,0,0.765753641143767,1e-04,1e-04,1e-04,0.00191484059860977,0,0.0131868206910327,6.14605734049413,0,12.7366288015494,0.00183169650491694,0,0.0225324558473225,0.000196707109803182,0,0,0.0150767375364576,0,0.124415983025857
"59",10.8,0.00542940041976566,0,0.020695432978903,0.0608564880110522,0,0.795001087313251,1e-04,1e-04,1e-04,0.00206346857950403,0,0.0136252964148732,6.45648929558371,0,13.0349610212408,0.00196075475442787,0,0.0233944706716118,0.000216229740390823,0,0,0.0158138725200612,0,0.127208449763815
"60",10.9,0.00566237675964229,0,0.021155662968073,0.0651283949198346,0,0.829016972107507,1e-04,1e-04,1e-04,0.00222272293304957,0,0.0140635554454562,6.76781954210522,0,13.3237778488149,0.00209811006002326,0,0.0242479640878148,0.000237402094537151,0,0,0.0165866083326812,0,0.130058631887933
