aegy.temps.DTR8,R0.rel
4.653528498,0
4.753528498,0
4.853528498,0
4.953528498,0
5.053528498,0
5.153528498,0
5.253528498,0
5.353528498,0
5.453528498,0
5.553528498,0
5.653528498,0
5.753528498,0
5.853528498,0
5.953528498,0
6.053528498,0
6.153528498,0
6.253528498,0
6.353528498,0
6.453528498,0
6.553528498,0
6.653528498,0
6.753528498,0
6.853528498,0
6.953528498,0
7.053528498,0
7.153528498,0
7.253528498,0
7.353528498,0
7.453528498,0
7.553528498,0
7.653528498,0
7.753528498,0
7.853528498,0
7.953528498,1.36E-45
8.053528498,6.07E-42
8.153528498,8.94E-36
8.253528498,2.49E-33
8.353528498,2.08E-31
8.453528498,1.29E-29
8.553528498,2.24E-23
8.653528498,4.41E-22
8.753528498,2.99E-21
8.853528498,1.58E-20
8.953528498,3.77E-19
9.053528498,2.55E-18
9.153528498,2.20E-16
9.253528498,1.05E-15
9.353528498,3.48E-15
9.453528498,9.77E-15
9.553528498,5.10E-14
9.653528498,1.93E-13
9.753528498,4.73E-13
9.853528498,1.06E-12
9.953528498,2.34E-12
10.0535285,4.88E-12
10.1535285,9.47E-12
10.2535285,1.90E-11
10.3535285,3.66E-11
10.4535285,6.64E-11
10.5535285,1.19E-10
10.6535285,2.08E-10
10.7535285,3.55E-10
10.8535285,5.87E-10
10.9535285,9.98E-10
11.0535285,1.66E-09
11.1535285,2.66E-09
11.2535285,4.23E-09
11.3535285,6.60E-09
11.4535285,1.01E-08
11.5535285,1.51E-08
11.6535285,2.24E-08
11.7535285,3.27E-08
11.8535285,4.78E-08
11.9535285,6.87E-08
12.0535285,9.77E-08
12.1535285,1.38E-07
12.2535285,1.93E-07
12.3535285,2.66E-07
12.4535285,3.64E-07
12.5535285,4.97E-07
12.6535285,6.71E-07
12.7535285,9.00E-07
12.8535285,1.20E-06
12.9535285,1.60E-06
13.0535285,2.10E-06
13.1535285,2.75E-06
13.2535285,3.58E-06
13.3535285,4.63E-06
13.4535285,5.96E-06
13.5535285,7.62E-06
13.6535285,9.69E-06
13.7535285,1.23E-05
13.8535285,1.55E-05
13.9535285,1.94E-05
14.0535285,2.41E-05
14.1535285,2.99E-05
14.2535285,3.70E-05
14.3535285,4.55E-05
14.4535285,5.58E-05
14.5535285,6.80E-05
14.6535285,8.27E-05
14.7535285,0.000100028
14.8535285,0.000120527
14.9535285,0.00014473
15.0535285,0.000173142
15.1535285,0.000206316
15.2535285,0.000245011
15.3535285,0.000290049
15.4535285,0.000342246
15.5535285,0.00040269
15.6535285,0.000472434
15.7535285,0.000552792
15.8535285,0.000645036
15.9535285,0.000750302
16.0535285,0.000870593
16.1535285,0.001007401
16.2535285,0.001163099
16.3535285,0.001339473
16.4535285,0.001538935
16.5535285,0.001763869
16.6535285,0.002017201
16.7535285,0.002301759
16.8535285,0.002620545
16.9535285,0.002977144
17.0535285,0.003374313
17.1535285,0.00381607
17.2535285,0.004306739
17.3535285,0.00485
17.4535285,0.005449983
17.5535285,0.006111225
17.6535285,0.00683872
17.7535285,0.007636793
17.8535285,0.008510977
17.9535285,0.009466633
18.0535285,0.010509249
18.1535285,0.011644535
18.2535285,0.012877921
18.3535285,0.014215647
18.4535285,0.015664079
18.5535285,0.017229902
18.6535285,0.018919701
18.7535285,0.020739806
18.8535285,0.022697271
18.9535285,0.024800792
19.0535285,0.027056386
19.1535285,0.02947083
19.2535285,0.032052275
19.3535285,0.034809125
19.4535285,0.037747342
19.5535285,0.040874539
19.6535285,0.044198652
19.7535285,0.047727364
19.8535285,0.051468286
19.9535285,0.055429042
20.0535285,0.059617454
20.1535285,0.064040255
20.2535285,0.068705118
20.3535285,0.073618989
20.4535285,0.078788185
20.5535285,0.08422064
20.6535285,0.089922188
20.7535285,0.095899323
20.8535285,0.102157697
20.9535285,0.108703371
21.0535285,0.115541708
21.1535285,0.122678116
21.2535285,0.130117216
21.3535285,0.137863944
21.4535285,0.145922218
21.5535285,0.154294517
21.6535285,0.162982912
21.7535285,0.171990759
21.8535285,0.181319624
21.9535285,0.190971206
22.0535285,0.200944535
22.1535285,0.211240076
22.2535285,0.221858343
22.3535285,0.232797484
22.4535285,0.24405435
22.5535285,0.255626602
22.6535285,0.267511778
22.7535285,0.27970457
22.8535285,0.292200026
22.9535285,0.304992986
23.0535285,0.318077286
23.1535285,0.331445401
23.2535285,0.345088942
23.3535285,0.358998832
23.4535285,0.373164808
23.5535285,0.387576956
23.6535285,0.402224622
23.7535285,0.417096101
23.8535285,0.432177935
23.9535285,0.447456029
24.0535285,0.462916501
24.1535285,0.478543679
24.2535285,0.494321919
24.3535285,0.510235121
24.4535285,0.526264886
24.5535285,0.542393472
24.6535285,0.558601594
24.7535285,0.574869839
24.8535285,0.591177825
24.9535285,0.607505539
25.0535285,0.623831139
25.1535285,0.640132648
25.2535285,0.65638763
25.3535285,0.672573062
25.4535285,0.688665841
25.5535285,0.704641792
25.6535285,0.720476488
25.7535285,0.736144531
25.8535285,0.751620843
25.9535285,0.766879172
26.0535285,0.781893588
26.1535285,0.796638012
26.2535285,0.811085915
26.3535285,0.825210064
26.4535285,0.838983706
26.5535285,0.852379842
26.6535285,0.865371295
26.7535285,0.877930531
26.8535285,0.890030513
26.9535285,0.901644404
27.0535285,0.912744777
27.1535285,0.923304634
27.2535285,0.933297036
27.3535285,0.942695993
27.4535285,0.951475039
27.5535285,0.959608088
27.6535285,0.96706964
27.7535285,0.973834452
27.8535285,0.979877782
27.9535285,0.985175457
28.0535285,0.989703396
28.1535285,0.993438514
28.2535285,0.996357826
28.3535285,0.998439156
28.4535285,0.999660312
28.5535285,1
28.6535285,0.999436891
28.7535285,0.997949425
28.8535285,0.99551631
28.9535285,0.992114963
29.0535285,0.987722032
29.1535285,0.98231165
29.2535285,0.975853787
29.3535285,0.968310929
29.4535285,0.959631122
29.5535285,0.949731279
29.6535285,0.938421818
29.7535285,0.925324311
29.8535285,0.91132544
29.9535285,0.89658428
30.0535285,0.880718549
30.1535285,0.864048138
30.2535285,0.847134501
30.3535285,0.830073003
30.4535285,0.812634746
30.5535285,0.79479325
30.6535285,0.776267508
30.7535285,0.756520504
30.8535285,0.736145982
30.9535285,0.715637332
31.0535285,0.6949774
31.1535285,0.674104101
31.2535285,0.652906315
31.3535285,0.631792802
31.4535285,0.610486608
31.5535285,0.589154828
31.6535285,0.567747704
31.7535285,0.545794107
31.8535285,0.523941848
31.9535285,0.501952391
32.0535285,0.481207693
32.1535285,0.460439166
32.2535285,0.439907766
32.3535285,0.419570792
32.4535285,0.39958413
32.5535285,0.380031206
32.6535285,0.360326687
32.7535285,0.340931863
32.8535285,0.320614444
32.9535285,0.301523526
33.0535285,0.281823335
33.1535285,0.26250882
33.2535285,0.243747506
33.3535285,0.225466519
33.4535285,0.208288458
33.5535285,0.19164065
33.6535285,0.175489725
33.7535285,0.160395063
33.8535285,0.144158093
33.9535285,0.12935807
34.0535285,0.115211717
34.1535285,0.101996304
34.2535285,0.089770132
34.3535285,0.078137957
34.4535285,0.066476329
34.5535285,0.056004184
34.6535285,0.045891897
34.7535285,0.036286421
34.8535285,0.027473573
34.9535285,0.020374928
35.0535285,0.014021355
35.1535285,0.009062822
35.2535285,0.005715859
35.3535285,0.003461826
35.4535285,0.001914979
35.5535285,0.000921212
35.6535285,0.00052644
35.7535285,0.000258949
35.8535285,0.000108153
35.9535285,8.57E-06
36.0535285,7.65E-06
36.1535285,0
36.2535285,0
36.3535285,0
36.4535285,0
36.5535285,0
36.6535285,0
36.7535285,0
36.8535285,0
36.9535285,0
37.0535285,0
37.1535285,0
37.2535285,0
37.3535285,0
37.4535285,0
37.5535285,0
37.6535285,0
37.7535285,0
37.8535285,0
37.9535285,0
38.0535285,0
38.1535285,0
38.2535285,0
38.3535285,0
38.4535285,0
38.5535285,0
38.6535285,0
38.7535285,0
38.8535285,0
38.9535285,0
39.0535285,0
39.1535285,0
39.2535285,0
39.3535285,0
39.4535285,0
39.5535285,0
39.6535285,0
39.7535285,0
39.8535285,0
39.9535285,0
40.0535285,0
40.1535285,0
40.2535285,0
40.3535285,0
40.4535285,0
40.5535285,0
40.6535285,0
40.7535285,0
40.8535285,0
40.9535285,0
41.0535285,0
41.1535285,0
41.2535285,0
41.3535285,0
41.4535285,0
41.5535285,0
41.6535285,0
41.7535285,0
41.8535285,0
41.9535285,0
42.0535285,0
42.1535285,0
42.2535285,0
42.3535285,0
42.4535285,0
42.5535285,0
42.6535285,0
42.7535285,0
42.8535285,0
42.9535285,0
43.0535285,0
43.1535285,0
43.2535285,0
43.3535285,0
43.4535285,0
43.5535285,0
43.6535285,0
43.7535285,0
43.8535285,0
43.9535285,0
44.0535285,0
44.1535285,0
44.2535285,0
44.3535285,0
44.4535285,0
44.5535285,0
44.6535285,0
